id,kod,ad,tip
162,EDIP,Edip Gayrimenkul Yatırım Sanayi ve Ticaret A.Ş.,Hisse
55789,EGCEY,EGELI&CO ENERJI YATIRIM,Hisse
576,EGCYH,Egeli&Co Yatırım Holding A.Ş.,Hisse
192,EGCYO,Egeli & Co Tarım Girişim Sermayesi Yatırım Ortaklı,Hisse
164,EGEEN,Ege Endustri Ve Ticaret Anonim A.Ş.,Hisse
76383,EGEPO,NASMED ÖZEL SAĞLIK HİZMETLERİ,Hisse
165,EGGUB,Ege Gubre Sanayii A.Ş.,Hisse
166,EGPRO,Ege Profil Ticaret Ve Sanayi A.Ş.,Hisse
168,EGSER,Ege Seramik Sanayi Ve Ticaret A.Ş.,Hisse
2341,EKGYO,Emlak Konut Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
2232,EKIZ,Ekiz Kimya Sanayi ve Ticaret A. Ş.,Hisse
77521,ELITE,ELİTE GIDA,Hisse
171,EMKEL,Emek Elektrik Endüstrisi A.Ş.,Hisse
172,EMNIS,Eminiş Ambalaj Sanayi Ve Ticaret A.Ş.,Hisse
2988,ENJSA,Enerjisa Enerji A.Ş.,Hisse
175,ENKAI,Enka İnşaat ve Sanayi A.Ş.,Hisse
80191,ENSRI,ENSARİ GIDA,Hisse
176,EPLAS,Egeplast Ege Plastık Ticaret Ve Sanayi A.Ş.,Hisse
177,ERBOS,Erbosan Erciyas Boru Sanayii Ve Ticaret A.Ş.,Hisse
79122,ERCB,ERCİYAS ÇELİK,Hisse
178,EREGL,Eregli Demir Ve Çelik Fabrikaları T.A.Ş.,Hisse
179,ERSU,Ersu Meyve Ve Gıda Sanayi A.Ş.,Hisse
75681,ESCAR,ESCAR TURİZM,Hisse
180,ESCOM,Escort Teknoloji Yatırım A.Ş.,Hisse
71677,ESEN,ESENBOĞA ELEKTRİK ÜRTETİM A.Ş,Hisse
3980,ETILR,Etiler Gıda Ve Ticari Yatırımlar Sanayi Ve Ticaret,Hisse
1771,ETYAT,Euro Trend Yatırım Ortaklığı A.Ş.,Hisse
